cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.1,L2_primal,0.01,0.59472272005713,0.6907672469374597,0.4252081003346995,0.004333052165350626,0.007947530900472562,0.008111661515438393,L2_Logistic_Regression
1,L2_primal,0.01,0.5947207382798864,0.690916827852998,0.42505503717779686,0.004333127791483639,0.007694213714108232,0.007787276197204794,L2_Logistic_Regression
10,L2_primal,0.01,0.5947205657272059,0.6909521598968408,0.4250155162284315,0.004332778261410124,0.007691582329723839,0.007801307034280909,L2_Logistic_Regression
100,L2_primal,0.01,0.5947207563217529,0.6909511283043198,0.42501739828614793,0.004332690864795463,0.007691137474621358,0.007801677120947402,L2_Logistic_Regression
1000,L2_primal,0.01,0.5947207554723394,0.6909573178594455,0.4250073606449936,0.004332692817997497,0.007684443345143016,0.0077895116122516424,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5947371023832483,0.7002419084461637,0.4132201199358029,0.004317661992057322,0.010885282921626936,0.010921722495010113,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5951576824147603,0.6947293359123147,0.4218079755134758,0.004357846533699494,0.010356708174686292,0.010413442267208726,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5951915990159083,0.6914852353320439,0.4259248513370175,0.004370010722566169,0.008675443221729024,0.00921508003215185,L2_Logistic_Regression
1,L2_primal,0.01,0.5951952557321685,0.6914553191489362,0.4259201458484056,0.004373142652058291,0.008588278781247153,0.009086882858657188,L2_Logistic_Regression
10,L2_primal,0.01,0.5951961103028152,0.6914168923275307,0.4259659355030006,0.004373372941696697,0.008597758022496108,0.009085939155856034,L2_Logistic_Regression
100,L2_primal,0.01,0.5951961662807324,0.6914168923275307,0.4259659355030006,0.004373415831625179,0.008597758022496108,0.009085939155856034,L2_Logistic_Regression
1000,L2_primal,0.01,0.5951961613454162,0.6914168923275307,0.4259659355030006,0.004373420739631532,0.008597758022496108,0.009085939155856034,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5956670702480832,0.695802192134107,0.41803427861537373,0.004159889918208376,0.011186524805756487,0.01111511975730937,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5960285406617901,0.6889990973565442,0.42951795888966565,0.0041315241303155545,0.0091599853979189,0.010038893932178146,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5960032879357129,0.6889418439716312,0.4299006116908928,0.004128181299029882,0.008226552742397322,0.00857352071651278,L2_Logistic_Regression
1,L2_primal,0.01,0.5959998647314471,0.6891117988394584,0.42969264524781164,0.004128800074020285,0.008095249850793781,0.008362491956754916,L2_Logistic_Regression
10,L2_primal,0.01,0.5959999852090715,0.689133978078659,0.4296779018229132,0.004128518329404117,0.008085374091499616,0.008341684996177766,L2_Logistic_Regression
100,L2_primal,0.01,0.5959998926178262,0.6891401676337846,0.4296706872683336,0.0041286485568613135,0.008084145055147082,0.00833490037905155,L2_Logistic_Regression
1000,L2_primal,0.01,0.5959999433801753,0.6891401676337846,0.4296706872683336,0.004128706704613632,0.008084145055147082,0.00833490037905155,L2_Logistic_Regression
0.001,L2_primal,0.01,0.596537305104422,0.6866447453255964,0.43360055742592823,0.004059305230469894,0.010578150196013459,0.010747936884474759,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5968214975657549,0.6954009026434559,0.424635033779842,0.004049851739596093,0.009337948327556253,0.011007342596292054,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5967612288453819,0.6918834300451322,0.42842006439193236,0.004043469096309102,0.009576756558111695,0.011482644870089011,L2_Logistic_Regression
1,L2_primal,0.01,0.5967539854725591,0.6920203739522889,0.4281201955191463,0.00404361467690508,0.009533112162747862,0.011223317012800896,L2_Logistic_Regression
10,L2_primal,0.01,0.5967533588118253,0.6920459058671825,0.42809040069895166,0.004044532303113604,0.009564562944282172,0.011280253347277051,L2_Logistic_Regression
100,L2_primal,0.01,0.5967534858497306,0.6920190844616376,0.42811800421212604,0.0040443907136219065,0.009565468893117372,0.011295589880204758,L2_Logistic_Regression
1000,L2_primal,0.01,0.5967536036351447,0.6920190844616376,0.42811800421212604,0.004044587305402329,0.009565468893117372,0.011295589880204758,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5938372653795554,0.6817769181173436,0.4313088952436306,0.004197462204653283,0.01016637829301727,0.011485166876471671,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5951039001407369,0.6857898130238556,0.4305303818872284,0.004203634047215524,0.008243963524153816,0.0094768649559609,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5952129854088711,0.6917905867182463,0.42369279724086856,0.00421378640670727,0.007721260639968151,0.007804994631252927,L2_Logistic_Regression
1,L2_primal,0.01,0.5952170069131616,0.6925810444874274,0.4227565028925902,0.004216727762381126,0.007624780790588573,0.007751441258774127,L2_Logistic_Regression
